,@timestamp,event.original,host.ip,tags,type,filterlog0,filterlog1,filterlog2,filterlog3,filterlog4,filterlog5,filterlog6,filterlog7,filterlog8,filterlog9,filterlog10,filterlog11,filterlog12,filterlog13,filterlog14,filterlog15,filterlog16,filterlog17,filterlog18,filterlog19,filterlog20,filterlog21,filterlog22,filterlog23,filterlog24,filterlog25,filterlog26,filterlog27,filterlog28
154,"Oct 25, 2022 @ 04:22:08.061","<134>Oct 25 11:22:08 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,1188,0,DF,6,tcp,71,192.168.170.20,91.228.165.159,50067,8883,31,PA,1211746763:1211746794,226104058,64147,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:22:08 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,1188,0,DF,6,tcp,71,192.168.170.20,91.228.165.159,50067,8883,31,PA,1211746763:1211746794,226104058,64147,,
155,"Oct 25, 2022 @ 04:22:07.060","<134>Oct 25 11:22:07 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,1187,0,DF,6,tcp,71,192.168.170.20,91.228.165.159,50067,8883,31,PA,1211746763:1211746794,226104058,64147,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:22:07 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,1187,0,DF,6,tcp,71,192.168.170.20,91.228.165.159,50067,8883,31,PA,1211746763:1211746794,226104058,64147,,
156,"Oct 25, 2022 @ 04:22:07.060","<134>Oct 25 11:22:07 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,1186,0,DF,6,tcp,71,192.168.170.20,91.228.165.159,50067,8883,31,PA,1211746763:1211746794,226104058,64147,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:22:07 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,1186,0,DF,6,tcp,71,192.168.170.20,91.228.165.159,50067,8883,31,PA,1211746763:1211746794,226104058,64147,,
158,"Oct 25, 2022 @ 04:21:49.031","<134>Oct 25 11:21:49 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,60780,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,56066,80,0,S,2667354951,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:21:49 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,60780,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,56066,80,0,S,2667354951,,64240,,mss;sackOK;TS;nop;wscale
159,"Oct 25, 2022 @ 04:21:14.426","<134>Oct 25 11:21:14 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,60779,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,56066,80,0,S,2667354951,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:21:14 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,60779,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,56066,80,0,S,2667354951,,64240,,mss;sackOK;TS;nop;wscale
160,"Oct 25, 2022 @ 04:21:06.341","<134>Oct 25 11:21:06 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,16519,0,DF,6,tcp,40,192.168.170.20,20.198.162.76,50072,443,0,RA,1498207020,1285633671,0,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:21:06 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,16519,0,DF,6,tcp,40,192.168.170.20,20.198.162.76,50072,443,0,RA,1498207020,1285633671,0,,
162,"Oct 25, 2022 @ 04:20:58.260","<134>Oct 25 11:20:58 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,60778,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,56066,80,0,S,2667354951,,64240,,mss;sackOK;TS;nop;wscale",192.168.169.1,syslog,syslog,<134>Oct 25 11:20:58 filterlog[20727]: 3,,,1000000102,em1,match,block,in,4,0x0,,64,60778,0,DF,6,tcp,60,192.168.169.12,169.254.169.254,56066,80,0,S,2667354951,,64240,,mss;sackOK;TS;nop;wscale
163,"Oct 25, 2022 @ 04:20:56.240","<134>Oct 25 11:20:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,16518,0,DF,6,tcp,139,192.168.170.20,20.198.162.76,50072,443,99,PA,1498206921:1498207020,1285633671,65392,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:20:56 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,16518,0,DF,6,tcp,139,192.168.170.20,20.198.162.76,50072,443,99,PA,1498206921:1498207020,1285633671,65392,,
164,"Oct 25, 2022 @ 04:20:51.162","<134>Oct 25 11:20:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,16517,0,DF,6,tcp,139,192.168.170.20,20.198.162.76,50072,443,99,PA,1498206921:1498207020,1285633671,65392,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:20:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,16517,0,DF,6,tcp,139,192.168.170.20,20.198.162.76,50072,443,99,PA,1498206921:1498207020,1285633671,65392,,
165,"Oct 25, 2022 @ 04:20:51.161","<134>Oct 25 11:20:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,29246,0,DF,6,tcp,40,192.168.170.20,96.17.72.33,50090,443,0,RA,111292847,1639914276,0,,",192.168.169.1,syslog,syslog,<134>Oct 25 11:20:51 filterlog[20727]: 4,,,1000000103,em2,match,block,in,4,0x0,,128,29246,0,DF,6,tcp,40,192.168.170.20,96.17.72.33,50090,443,0,RA,111292847,1639914276,0,,
