"@timestamp","host.hostname","event.action","event.module","file.owner","file.path","file.size","file.type","process.args"
"Oct 26, 2022 @ 01:35:43.670",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/128.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.667",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/128.r4ns0mE.r4ns0mE","1,001",file,"-"
"Oct 26, 2022 @ 01:35:43.665",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/98.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.662",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/98.r4ns0mE.r4ns0mE",923,file,"-"
"Oct 26, 2022 @ 01:35:43.661",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/76.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.658",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/76.r4ns0mE.r4ns0mE","1,250",file,"-"
"Oct 26, 2022 @ 01:35:43.656",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/126.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.653",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/126.r4ns0mE.r4ns0mE","1,294",file,"-"
"Oct 26, 2022 @ 01:35:43.652",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/58.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.649",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/58.r4ns0mE.r4ns0mE","1,300",file,"-"
"Oct 26, 2022 @ 01:35:43.647",confluence,deleted,"file_integrity","-","/opt/atlassian/confluence/confluence/images/icons/classic/16/75.r4ns0mE","-","-","-"
"Oct 26, 2022 @ 01:35:43.644",confluence,created,"file_integrity",root,"/opt/atlassian/confluence/confluence/images/icons/classic/16/75.r4ns0mE.r4ns0mE","1,293",file,"-"
