"@timestamp","event.type","event.module","event.action","file.path","file.owner","file.type","file.size"
"Oct 24, 2022 @ 17:00:04.817",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"173,106"
"Oct 24, 2022 @ 17:00:04.495",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,740,800"
"Oct 24, 2022 @ 17:00:04.384",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"170,796"
"Oct 24, 2022 @ 17:00:04.240",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,239,040"
"Oct 24, 2022 @ 17:00:04.096",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"168,726"
"Oct 24, 2022 @ 17:00:03.952",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"256,000"
"Oct 24, 2022 @ 17:00:03.764",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"166,476"
"Oct 24, 2022 @ 17:00:03.576",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,0
"Oct 24, 2022 @ 16:59:07.715",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 16:59:07.596",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"166,446"
"Oct 24, 2022 @ 16:59:07.506",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,560,000"
"Oct 24, 2022 @ 16:59:07.417",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"166,416"
"Oct 24, 2022 @ 16:59:07.317",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,539,520"
"Oct 24, 2022 @ 16:59:07.239",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"165,996"
"Oct 24, 2022 @ 16:59:07.106",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,832,960"
"Oct 24, 2022 @ 16:59:07.039",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"163,626"
"Oct 24, 2022 @ 16:59:06.917",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,413,120"
"Oct 24, 2022 @ 16:59:06.830",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"162,606"
"Oct 24, 2022 @ 16:59:06.544",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"1,054,720"
"Oct 24, 2022 @ 16:59:06.022",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"159,756"
"Oct 24, 2022 @ 16:59:05.640",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"215,040"
"Oct 24, 2022 @ 16:58:06.644",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"158,916"
"Oct 24, 2022 @ 16:58:06.500",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"2,570,240"
"Oct 24, 2022 @ 16:58:06.212",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"157,026"
"Oct 24, 2022 @ 16:58:05.812",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"317,440"
"Oct 24, 2022 @ 16:58:05.547",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"151,566"
"Oct 24, 2022 @ 16:58:05.286",change,"file_integrity","updated, attributes_modified","/var/backups/backup.tgz",root,file,"229,376"
"Oct 24, 2022 @ 16:57:15.011",change,"file_integrity","updated, attributes_modified","/etc/sudoers",root,file,"151,386"
