"@timestamp","file.type","file.path","event.type","file.mode","file.owner","file.extension"
"Oct 25, 2022 @ 00:23:29.980",file,"/home/resch/destination/[FORM] Code of Conduct ICT Legal 2019.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:23:22.256",file,"/home/resch/destination/Details-of-Deliverable-1_ICT3203.pdf",creation,0644,resch,pdf
"Oct 25, 2022 @ 00:23:17.441",file,"/home/resch/destination/--checkpoint=1",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:22:55.439",file,"/home/resch/destination/SIT_logo_2.png",creation,0644,resch,png
"Oct 25, 2022 @ 00:22:51.278",file,"/home/resch/destination/3204lab-test-results-1.xlsx",creation,0644,resch,xlsx
"Oct 25, 2022 @ 00:22:34.702",file,"/home/resch/destination/test.sh",creation,0644,resch,sh
"Oct 25, 2022 @ 00:21:22.518",file,"/home/resch/destination/crying-cat-in-shower.jpg",creation,0644,resch,jpg
"Oct 25, 2022 @ 00:07:43.531",file,"/home/resch/.scripts/CVE-2021-3156/.git/logs/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:43.441",file,"/home/resch/.scripts/CVE-2021-3156/.git/logs/refs/remotes/origin/HEAD",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:42.781",file,"/home/resch/.scripts/CVE-2021-3156/.git/logs/refs/heads/main",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:41.806",file,"/home/resch/.scripts/CVE-2021-3156/.git/info/exclude",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:41.401",file,"/home/resch/.scripts/CVE-2021-3156/.git/index",creation,0644,resch,"-"
"Oct 25, 2022 @ 00:07:41.254",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/8e/11a21388c0d4653970d6b2d28f17f71d999318",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:40.942",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/83/699ac455fb1288e2e6a8c1d1990379c7a448bf",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:40.663",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/50/ad10101c45265bedcf58c06a572414bde50b0a",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:40.448",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/48/eeaa3760532c29c424c69237e7033f71c33e53",creation,0444,resch,"-"
"Oct 25, 2022 @ 00:07:40.194",file,"/home/resch/.scripts/CVE-2021-3156/.git/objects/01/b5dd2aed94664325b09ef85d9cb49d65e96f14",creation,0444,resch,"-"
