@timestamp,error.message,event.module,event.type,file.ctime,file.extension,file.gid,file.owner,file.path,file.size,file.type,host.ip,
"Oct 25, 2022 @ 01:53:13.557",moved,change,-,-,-,-,/home/resch/destination/.pam_extrausers_update.vZuAqz,/home/resch/destination/.pam_extrausers_update.vZuAqz,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.555",created,creation,"Oct 25, 2022 @ 01:53:13.535",-,0,root,/home/resch/destination/isosize,/home/resch/destination/isosize,"22,608",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.554",moved,change,-,-,-,-,/home/resch/destination/.isosize.6Ionbz,/home/resch/destination/.isosize.6Ionbz,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.552",created,creation,"Oct 25, 2022 @ 01:53:13.535",cramfs,0,root,/home/resch/destination/fsck.cramfs,/home/resch/destination/fsck.cramfs,"34,928",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.551",moved,change,-,-,-,-,/home/resch/destination/.fsck.cramfs.y0sRZz,/home/resch/destination/.fsck.cramfs.y0sRZz,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.549",created,creation,"Oct 25, 2022 @ 01:53:13.525",-,0,root,/home/resch/destination/hwclock,/home/resch/destination/hwclock,"59,584",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.548",moved,change,-,-,-,-,/home/resch/destination/.hwclock.ZyF3Nz,/home/resch/destination/.hwclock.ZyF3Nz,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.546",created,creation,"Oct 25, 2022 @ 01:53:13.525",-,0,root,/home/resch/destination/fsck,/home/resch/destination/fsck,"47,232",file,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.544",moved,change,-,-,-,-,/home/resch/destination/.fsck.lH2nEA,/home/resch/destination/.fsck.lH2nEA,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.543",created,creation,-,-,-,-,/home/resch/destination/.fsck.lH2nEA,/home/resch/destination/.fsck.lH2nEA,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.541",attributes_modified,change,-,-,-,-,/home/resch/destination/.fsck.lH2nEA,/home/resch/destination/.fsck.lH2nEA,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.539",created,creation,-,-,-,-,/home/resch/destination/.fsck.lH2nEA,/home/resch/destination/.fsck.lH2nEA,-,-,"172.17.0.3, 172.18.0.2",
"Oct 25, 2022 @ 01:53:13.537",created,creation,"Oct 25, 2022 @ 01:53:13.515",-,0,root,/home/resch/destination/unminimize,/home/resch/destination/unminimize,"3,863",file,"172.17.0.3, 172.18.0.2",
